Style,Platform,Keywords,Use Cases,Colors,Typography,Components,Animation,Example Apps
Material You,Android,dynamic color personalization wallpaper adaptive,Consumer apps social media lifestyle,Dynamic from wallpaper tonal palettes,Roboto Google Sans 15 type styles,Filled buttons tonal surfaces FAB cards,Emphasized easing container transform 300-400ms,Google apps Pixel launcher Messages
Liquid Glass,iOS,translucent depth blur glass adaptive refraction,System apps productivity tools navigation controls,Neutral base content-adaptive automatic light/dark,SF Pro Display/Text SF Symbols,glassEffect buttons floating tab bars sheets,Spring animations materialization 0.4s bounce,iOS 26 apps Settings Safari Mail
Minimal Native,Cross-platform,clean simple whitespace essential content-first,Productivity reading utility tools,Monochrome with accent high contrast,System default platform fonts large readable,Simple buttons standard lists cards,Subtle micro-interactions 150-200ms,Apple Notes Google Keep Notion
Dark Mode Optimized,Cross-platform,dark night OLED battery efficient eye strain,Media streaming music video gaming,Dark surfaces 10-15% gray accent colors,High contrast white text on dark,Cards with elevated surfaces subtle borders,Smooth transitions reduced brightness,Spotify Netflix YouTube Music
Glassmorphism Mobile,Cross-platform,blur transparency depth frosted modern,Music players media apps premium apps,Translucent layers with blur vibrant accents,Light fonts on glass good contrast,Blurred cards floating elements,Parallax blur intensity changes,Apple Music Control Center
Bento Grid,Cross-platform,dashboard widgets cards modular information-dense,Dashboards health apps smart home,Surface variants container hierarchy,Mixed sizes for hierarchy,Rounded cards varied sizes tap targets 48dp,Staggered reveal reorder animations,Apple Widgets Samsung One UI
Neumorphism,Cross-platform,soft UI 3D subtle shadows pressed,Calculator clock single-function apps,Soft background matching shadow colors,Soft rounded fonts medium weight,Extruded buttons inset inputs,Subtle press animations soft bounce,Calculators timer apps
Brutalist Mobile,Cross-platform,bold raw typography-heavy editorial,News editorial creative portfolio,High contrast black white accent,Large bold headlines mono body,Bold buttons raw borders,Minimal intentional jarring,Bloomberg News apps
Skeuomorphic Revival,iOS,realistic textures depth tactile,Games music instruments notebooks,Natural textures leather wood metal,Textured display fonts,Realistic controls knobs switches,Physics-based bouncy tactile,GarageBand iBooks
Adaptive Platform,KMP,native-feel platform-specific unified codebase,Cross-platform apps multi-device,Platform color tokens dynamic,Platform typography SF/Roboto,Platform components Material/Cupertino,Platform motion patterns,Many KMP apps Flutter apps
