Style Name,Platform,Font Family,Size,Weight,Line Height,Letter Spacing,Use Case
Display Large,Material 3,Google Sans,57sp,400,64sp,-0.25sp,Hero headlines large feature text
Display Medium,Material 3,Google Sans,45sp,400,52sp,0sp,Section headers promotional text
Display Small,Material 3,Google Sans,36sp,400,44sp,0sp,Card titles feature highlights
Headline Large,Material 3,Google Sans,32sp,400,40sp,0sp,Screen titles dialog headers
Headline Medium,Material 3,Google Sans,28sp,400,36sp,0sp,Section titles expansion panels
Headline Small,Material 3,Google Sans,24sp,400,32sp,0sp,Subsection headers card titles
Title Large,Material 3,Google Sans Text,22sp,500,28sp,0sp,App bar titles list headers
Title Medium,Material 3,Google Sans Text,16sp,500,24sp,0.15sp,Card titles dialog titles
Title Small,Material 3,Google Sans Text,14sp,500,20sp,0.1sp,Tab labels small headers
Body Large,Material 3,Google Sans Text,16sp,400,24sp,0.5sp,Primary body text paragraphs
Body Medium,Material 3,Google Sans Text,14sp,400,20sp,0.25sp,Default body secondary text
Body Small,Material 3,Google Sans Text,12sp,400,16sp,0.4sp,Captions helper text
Label Large,Material 3,Google Sans Text,14sp,500,20sp,0.1sp,Buttons prominent labels
Label Medium,Material 3,Google Sans Text,12sp,500,16sp,0.5sp,Navigation labels chips
Label Small,Material 3,Google Sans Text,11sp,500,16sp,0.5sp,Small labels badges
Large Title,iOS,SF Pro Display,34pt,700,41pt,0.37pt,Primary screen titles
Title 1,iOS,SF Pro Display,28pt,400,34pt,0.36pt,Section headers prominent
Title 2,iOS,SF Pro Display,22pt,400,28pt,0.35pt,Subsection headers
Title 3,iOS,SF Pro Display,20pt,400,25pt,0.38pt,Tertiary headers
Headline,iOS,SF Pro Text,17pt,600,22pt,-0.43pt,Table headers emphasis
Body,iOS,SF Pro Text,17pt,400,22pt,-0.43pt,Primary content text
Callout,iOS,SF Pro Text,16pt,400,21pt,-0.32pt,Secondary content
Subheadline,iOS,SF Pro Text,15pt,400,20pt,-0.24pt,Section subtitles
Footnote,iOS,SF Pro Text,13pt,400,18pt,-0.08pt,Secondary labels helper
Caption 1,iOS,SF Pro Text,12pt,400,16pt,0pt,Timestamps small labels
Caption 2,iOS,SF Pro Text,11pt,400,13pt,0.06pt,Tertiary labels badges
