Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Liquid Glass,Use glassEffect modifier,Apply Liquid Glass to navigation and control elements,Use .glassEffect(.regular) for adaptive glass,Apply glass to content layers or stack glass on glass,"Button(""Action"") { }.glassEffect(.regular)","ZStack { glassView; anotherGlassView }",High,https://developer.apple.com/documentation/SwiftUI/Applying-Liquid-Glass-to-custom-views
Liquid Glass,Glass variants selection,Choose Regular for most cases Clear for media backgrounds,Use Regular glass for navigation bars toolbars,Use Clear glass without dimming layer beneath,"NavigationStack { }.toolbar { ToolbarItem { Button("""").glassEffect(.regular) }}","Image("""").overlay { controls.glassEffect(.clear) }",Medium,https://developer.apple.com/documentation/technologyoverviews/adopting-liquid-glass
Liquid Glass,GlassEffectContainer for grouping,Group related glass elements to avoid sampling issues,Wrap related glass elements in GlassEffectContainer,Let glass elements sample each other directly,"GlassEffectContainer { Button(""A"").glassEffect(); Button(""B"").glassEffect() }","HStack { Button(""A"").glassEffect(); Button(""B"").glassEffect() }",High,https://developer.apple.com/documentation/SwiftUI/GlassEffectContainer
Liquid Glass,Interactive glass effects,Make glass respond to touch with interactive modifier,Add .interactive() for touchable glass elements,Leave interactive glass without feedback,"Circle().glassEffect(.regular.interactive())","Circle().glassEffect(.regular)",Medium,https://developer.apple.com/documentation/SwiftUI/Glass
Navigation,NavigationStack for hierarchy,Use NavigationStack for push/pop navigation patterns,Use NavigationStack with navigationDestination,Use deprecated NavigationView,"NavigationStack { List { NavigationLink(""Detail"", value: item) }.navigationDestination(for: Item.self) { DetailView($0) } }","NavigationView { NavigationLink(destination: DetailView()) { Text(""Go"") } }",High,https://developer.apple.com/documentation/swiftui/navigationstack
Navigation,TabView for bottom tabs,Use TabView for main app sections 3-5 tabs maximum,Use TabView with tabItem modifier 3-5 items,Use more than 5 tabs or custom bottom navigation,"TabView { HomeView().tabItem { Label(""Home"", systemImage: ""house"") } }","HStack { ForEach(tabs) { tab in Button(tab.title) { } } }",Medium,https://developer.apple.com/documentation/swiftui/tabview
State,Use @State for view-local state,Local state owned by a single view,Use @State for simple view-local values,Use @State for shared or complex state,"@State private var isExpanded = false","@State var viewModel = ViewModel()",High,https://developer.apple.com/documentation/swiftui/state
State,Use @StateObject for ObservableObject,Create and own an ObservableObject instance,Use @StateObject when creating the object,Use @ObservedObject when you own the object,"@StateObject private var viewModel = ViewModel()","@ObservedObject var viewModel = ViewModel()",Critical,https://developer.apple.com/documentation/swiftui/stateobject
State,Use @ObservedObject for passed objects,Observe an ObservableObject passed from parent,Use @ObservedObject for dependency injection,Use @ObservedObject to create objects,"@ObservedObject var viewModel: ViewModel","@ObservedObject var viewModel = ViewModel()",High,https://developer.apple.com/documentation/swiftui/observedobject
State,Use @Environment for system values,Access system-provided values like colorScheme,Use @Environment for system values and DI,Store system values in manual properties,"@Environment(\\.colorScheme) var colorScheme","let colorScheme = UITraitCollection.current.userInterfaceStyle",Medium,https://developer.apple.com/documentation/swiftui/environment
