Component,Platform,SwiftUI API,Compose API,Flutter API,RN Component,Accessibility,Best Practices
Button Primary,Cross-platform,.buttonStyle(.borderedProminent),Button with filled style,ElevatedButton,TouchableOpacity + styled,accessibilityLabel role button,Min 48dp touch target clear label
Button Secondary,Cross-platform,.buttonStyle(.bordered),OutlinedButton,OutlinedButton,TouchableOpacity + border,accessibilityLabel role button,Distinct from primary lower emphasis
Button Tertiary,Cross-platform,.buttonStyle(.borderless),TextButton,TextButton,TouchableOpacity text only,accessibilityLabel role button,Lowest emphasis auxiliary actions
FAB,Cross-platform,Custom floating button,FloatingActionButton,FloatingActionButton,Custom positioned button,accessibilityLabel primary action,Bottom right 16dp margin one per screen
Icon Button,Cross-platform,Button with Image,IconButton,IconButton,TouchableOpacity + Icon,accessibilityLabel describes action,48dp minimum size clear meaning
Toggle Switch,Cross-platform,Toggle,Switch,Switch,Switch from RN,accessibilityRole switch state,Immediate visual feedback
Checkbox,Cross-platform,Toggle with style,Checkbox,Checkbox,Custom or library,accessibilityRole checkbox state,Clear checked/unchecked states
Radio Button,Cross-platform,Picker with style,RadioButton,Radio,Custom or library,accessibilityRole radio selection,Group with single selection
Slider,Cross-platform,Slider,Slider,Slider,Slider from RN,accessibilityValue min max current,Visible value label thumb 48dp
Text Field,Cross-platform,TextField,TextField OutlinedTextField,TextField TextFormField,TextInput,accessibilityLabel hint,Clear label error state 48dp height
Text Area,Cross-platform,TextEditor,TextField multiline,TextField maxLines,TextInput multiline,accessibilityLabel hint,Auto-expand visible line count
Dropdown,Cross-platform,Picker Menu,DropdownMenu ExposedDropdownMenuBox,DropdownButton PopupMenuButton,Picker or custom,accessibilityRole menu expanded,Clear selected state scrollable
Navigation Bar Bottom,Cross-platform,TabView,.bottomBar,NavigationBar BottomNavigationBar,Bottom Tabs navigator,accessibilityRole tablist,3-5 items icons + labels
Navigation Rail,Tablet,Custom sidebar,NavigationRail,NavigationRail,Custom sidebar,accessibilityRole navigation,7 items max FAB slot
Top App Bar,Cross-platform,NavigationView toolbar,TopAppBar SmallTopAppBar,AppBar,Header custom,accessibilityRole banner,Title actions navigation
Bottom Sheet,Cross-platform,.sheet presentationDetents,ModalBottomSheet,showModalBottomSheet,Modal or library,accessibilityRole dialog,Swipe to dismiss partial heights
Dialog Alert,Cross-platform,.alert,AlertDialog,AlertDialog showDialog,Alert from RN,accessibilityRole alert,Clear title actions max 2 buttons
Card,Cross-platform,Custom with background,Card ElevatedCard,Card,Custom View styled,accessibilityRole button if tappable,Consistent corner radius elevation
List Item,Cross-platform,List row,ListItem,ListTile,FlatList item,accessibilityRole listitem,48dp min height clear tap target
Divider,Cross-platform,Divider,Divider HorizontalDivider,Divider,View styled,decorative or separator role,Subtle 1dp consistent color
Progress Indicator,Cross-platform,ProgressView,CircularProgressIndicator LinearProgressIndicator,CircularProgressIndicator LinearProgressIndicator,ActivityIndicator,accessibilityRole progressbar value,Clear loading state determinate when possible
Snackbar Toast,Cross-platform,Custom overlay,Snackbar,SnackBar ScaffoldMessenger,Custom or library,accessibilityLiveRegion polite,Brief message single action auto-dismiss
Chip,Cross-platform,Custom button,AssistChip FilterChip InputChip,Chip FilterChip,Custom TouchableOpacity,accessibilityRole button state,Clear selection state removable
Badge,Cross-platform,Custom overlay,.badge modifier,Badge,Custom positioned View,accessibilityLabel count,Max 3 digits position top-right
Segmented Control,Cross-platform,Picker segmented,SegmentedButton,SegmentedButton custom,SegmentedControl custom,accessibilityRole tablist,2-5 segments equal width
Date Picker,Cross-platform,DatePicker,DatePicker DatePickerDialog,showDatePicker,DateTimePicker library,accessibilityRole date picker,Native picker validation
Time Picker,Cross-platform,DatePicker time style,TimePicker TimePickerDialog,showTimePicker,DateTimePicker library,accessibilityRole time picker,12/24 hour format
Search Bar,Cross-platform,.searchable modifier,SearchBar,SearchDelegate SearchBar,TextInput styled,accessibilityRole search,Clear button history suggestions
Avatar,Cross-platform,AsyncImage Circle clip,Image Clip CircleShape,CircleAvatar,Image borderRadius 50%,accessibilityLabel name,Fallback initials consistent size
Menu Popup,Cross-platform,Menu,DropdownMenu,PopupMenuButton,Menu from RN,accessibilityRole menu,Clear items icons optional
Tooltip,Cross-platform,.help modifier,TooltipBox PlainTooltip,Tooltip,Custom or library,accessibilityRole tooltip,Short text delay 500ms
Stepper,Cross-platform,Stepper,Custom +/- buttons,Custom +/- buttons,Custom or library,accessibilityRole spinbutton,Clear value min max
Rating Stars,Cross-platform,Custom star buttons,Custom star Row,RatingBar custom,Custom or library,accessibilityValue rating,Tappable half-star optional
Color Picker,Cross-platform,ColorPicker,Custom or library,Custom or library,Custom or library,accessibilityLabel color selection,Preview selected color
Image Carousel,Cross-platform,TabView PageTabViewStyle,HorizontalPager,PageView,FlatList horizontal paging,accessibilityRole list page indicator,Swipe indicators autoplay optional
Pull to Refresh,Cross-platform,.refreshable,pullRefresh modifier,RefreshIndicator,RefreshControl,accessibilityAction refresh,Clear loading state
Skeleton Loader,Cross-platform,Custom shimmer View,Custom shimmer modifier,Shimmer package,Custom or library,accessibilityBusy true,Matches content shape
Empty State,Cross-platform,ContentUnavailableView,Custom composable,Custom widget,Custom component,accessibilityLabel empty state,Illustration message CTA
Error State,Cross-platform,Custom error View,Custom composable,Custom widget,Custom component,accessibilityRole alert,Clear message retry button
Expandable List,Cross-platform,DisclosureGroup,Expandable items,ExpansionTile ExpansionPanelList,Custom or library,accessibilityState expanded,Clear expand/collapse icon
Accordion,Cross-platform,Custom disclosure groups,Custom expandable,ExpansionPanelList,Accordion library,accessibilityState expanded,Single or multiple expansion
Tab Bar Top,Cross-platform,Custom picker styled,TabRow ScrollableTabRow,TabBar DefaultTabController,Tab navigator top,accessibilityRole tablist,Scrollable for many tabs
Swipeable Row,Cross-platform,.swipeActions modifier,SwipeToDismiss,Dismissible Slidable,Swipeable library,accessibilityAction swipe actions,Reveal actions undo option
Contextual Menu,Cross-platform,.contextMenu modifier,Long press menu,PopupMenuButton long press,Context Menu library,accessibilityRole menu,Long press preview actions
Action Sheet,iOS,ActionSheet confirmationDialog,ModalBottomSheet custom,showModalBottomSheet,ActionSheetIOS,accessibilityRole dialog,Cancel button destructive red
Alert Sheet,Android,Custom,AlertDialog,AlertDialog,Alert from RN,accessibilityRole alertdialog,Title message buttons
Full Screen Dialog,Cross-platform,.fullScreenCover,Dialog fullscreen,showDialog fullscreen,Modal fullScreen,accessibilityRole dialog,Close button top left
Side Sheet,Tablet,Custom sheet from side,ModalDrawerSheet,Drawer endDrawer,Custom drawer right,accessibilityRole complementary,Persistent or modal
Floating Label Input,Cross-platform,Custom animated label,OutlinedTextField,TextField decoration,Custom or library,accessibilityLabel input purpose,Animate label on focus
OTP Input,Cross-platform,Custom 4-6 TextField,Custom Row TextField,Custom or library,Custom or library,accessibilityLabel code input,Auto-focus next clear paste
Phone Input,Cross-platform,TextField phoneNumber,TextField phone visual,Custom or library,Custom or library,accessibilityLabel phone number,Country code format mask
Credit Card Input,Cross-platform,Custom formatted,Custom formatted,Custom or library,Custom or library,accessibilityLabel card number,Luhn validation format mask
Pin Code Input,Cross-platform,SecureField custom,TextField password,Custom obscured,Custom or library,accessibilityLabel PIN,Masked immediate feedback
