Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Color,Use color roles not raw colors,Color roles provide semantic meaning,Use MaterialTheme.colorScheme.primary etc,Use hardcoded hex colors,"Surface(color = MaterialTheme.colorScheme.primaryContainer) { Text(color = MaterialTheme.colorScheme.onPrimaryContainer) }","Surface(color = Color(0xFF6750A4)) { Text(color = Color.White) }",Critical,https://m3.material.io/styles/color/roles
Color,Apply dynamic color on Android 12+,Dynamic color personalizes the app,Use dynamicLightColorScheme dynamicDarkColorScheme,Force static colors on supported devices,"val colors = if (dynamicColor && Build.VERSION.SDK_INT >= 31) dynamicLightColorScheme(context) else staticColors","val colors = staticLightColorScheme // always static",High,https://m3.material.io/styles/color/dynamic/user-generated-source
Color,Use tonal palettes for custom colors,Tonal palettes ensure accessibility,Generate palettes from seed color,Pick random shades manually,"val palette = TonalPalette.fromHct(Hct.fromInt(seedColor)); palette.tone(40) // primary","val primary = Color(0xFF6200EE); val primaryVariant = Color(0xFF3700B3) // manual",Medium,https://m3.material.io/styles/color/the-color-system/key-colors-tones
Typography,Use type scale tokens,15 predefined styles for consistency,Use MaterialTheme.typography.bodyLarge etc,Define custom text sizes everywhere,"Text(style = MaterialTheme.typography.headlineMedium)","Text(fontSize = 28.sp, fontWeight = FontWeight.W400)",High,https://m3.material.io/styles/typography/type-scale-tokens
Typography,Display for hero text only,Display styles are for short impactful text,Use Display for hero headlines,Use Display for body content,"Text(""Welcome"", style = MaterialTheme.typography.displayLarge)","Text(longParagraph, style = MaterialTheme.typography.displaySmall)",Medium,https://m3.material.io/styles/typography/applying-type
Typography,Body Medium is default,Body Medium 14sp is the standard body text,Use bodyMedium for main content,Use bodyLarge everywhere,"Text(articleContent, style = MaterialTheme.typography.bodyMedium)","Text(articleContent, style = MaterialTheme.typography.bodyLarge) // too large",Low,https://m3.material.io/styles/typography/type-scale-tokens
Shape,Use shape scale consistently,4 shape sizes for different components,Use MaterialTheme.shapes.medium etc,Mix random corner radii,"Card(shape = MaterialTheme.shapes.medium) { }","Card(shape = RoundedCornerShape(7.dp)) { }",Medium,https://m3.material.io/styles/shape/corner-radius-scale
Shape,Extra Small for small components,4dp for checkboxes small buttons,Use shapes.extraSmall for small UI,"Use large shapes for small components","Checkbox with extraSmall shape (4dp)","Checkbox with RoundedCornerShape(16.dp)",Medium,https://m3.material.io/styles/shape/corner-radius-scale
Shape,Extra Large for FAB sheets,28dp for prominent rounded elements,Use shapes.extraLarge for FAB bottom sheets,Use small shapes for FAB,"FloatingActionButton(shape = MaterialTheme.shapes.extraLarge)","FloatingActionButton(shape = RoundedCornerShape(8.dp))",Medium,https://m3.material.io/styles/shape/corner-radius-scale
Elevation,Use tonal elevation,M3 uses color tint not just shadow,Surface elevation changes background tint,Rely only on shadow for elevation,"Surface(tonalElevation = 3.dp) { } // tinted background","Surface(shadowElevation = 3.dp) { } // shadow only no tint",Medium,https://m3.material.io/styles/elevation/overview
Elevation,5 elevation levels,Use consistent elevation scale,Use 0 1 3 6 8 12dp levels,Use arbitrary elevation values,"Surface(tonalElevation = 3.dp) // level 2","Surface(tonalElevation = 5.dp) // not standard",Low,https://m3.material.io/styles/elevation/applying-elevation
Components,Filled button for primary action,Highest emphasis button type,Use filled Button for main CTA,Use filled buttons for all actions,"Button(onClick = { }) { Text(""Save"") }","Button { Text(""Cancel"") } // should be text or outlined",High,https://m3.material.io/components/buttons/guidelines
Components,Text button for low emphasis,Lowest emphasis for auxiliary actions,Use TextButton for dismiss or tertiary actions,Use TextButton for primary actions,"TextButton(onClick = { }) { Text(""Learn more"") }","TextButton { Text(""Submit"") } // too low emphasis",Medium,https://m3.material.io/components/buttons/guidelines
Components,One FAB per screen,FAB is for the primary action,Use single FAB for most important action,Use multiple FABs or FAB for secondary actions,"Scaffold(floatingActionButton = { FloatingActionButton { Icon(Icons.Add) } })","Row { FAB { Icon(Add) }; FAB { Icon(Edit) }; FAB { Icon(Share) } }",High,https://m3.material.io/components/floating-action-button/guidelines
Components,NavigationBar for 3-5 destinations,Bottom nav for main sections,Use NavigationBar with 3-5 items,"Use more than 5 or less than 3 items","NavigationBar { items.take(5).forEach { NavigationBarItem(...) } }","NavigationBar { items.take(7).forEach { } } // too many",High,https://m3.material.io/components/navigation-bar/guidelines
Motion,Use emphasized easing,M3 motion uses emphasized curves,Use emphasizedDecelerate for enter emphasizedAccelerate for exit,Use linear or standard easing,"animateEnter(animationSpec = tween(easing = EmphasizedDecelerateEasing))","animate(easing = LinearEasing)",Medium,https://m3.material.io/styles/motion/easing-and-duration/tokens-specs
Motion,300-400ms for mobile,Appropriate durations for mobile,Use 300ms for smaller 400ms for larger animations,Use too short or too long durations,"animate(durationMillis = 300)","animate(durationMillis = 100) // too fast or 800 // too slow",Medium,https://m3.material.io/styles/motion/easing-and-duration/tokens-specs
Accessibility,All color roles meet WCAG,on* colors contrast with base colors,Use onPrimary with primary onSurface with surface,Mix colors that dont contrast,"Surface(color = colorScheme.primary) { Text(color = colorScheme.onPrimary) }","Surface(color = colorScheme.primary) { Text(color = colorScheme.primaryContainer) }",Critical,https://m3.material.io/foundations/overview/assistive-technology
Accessibility,Touch targets 48dp minimum,Interactive elements need adequate size,Ensure 48x48dp minimum touch target,Make touch targets smaller than 48dp,"IconButton(modifier = Modifier.size(48.dp)) { Icon(...) }","Icon(modifier = Modifier.clickable { }.size(24.dp)) // too small",Critical,https://m3.material.io/foundations/designing/structure
