Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Navigation,Use React Navigation,Standard navigation library for RN,Use React Navigation createStackNavigator createBottomTabNavigator,Build custom navigation from scratch,"const Stack = createNativeStackNavigator(); <Stack.Navigator><Stack.Screen name=""Home"" component={HomeScreen} /></Stack.Navigator>","Custom history management with state",High,https://reactnavigation.org/docs/getting-started
Navigation,Use native stack navigator,Native stack provides better performance,Use createNativeStackNavigator over createStackNavigator,Use JS-based stack navigator,"import { createNativeStackNavigator } from '@react-navigation/native-stack';","import { createStackNavigator } from '@react-navigation/stack';",Medium,https://reactnavigation.org/docs/native-stack-navigator
Navigation,Type navigation properly,Use TypeScript for type-safe navigation,Define RootStackParamList and use typed hooks,Use any or untyped navigation,"type RootStackParamList = { Home: undefined; Details: { id: string } }; const navigation = useNavigation<NativeStackNavigationProp<RootStackParamList>>();","const navigation = useNavigation();",Medium,https://reactnavigation.org/docs/typescript
State,Use proper state management,Choose appropriate state solution,Use Zustand Redux or React Query for app state,Use Context for high-frequency updates,"const useStore = create((set) => ({ count: 0, increment: () => set(s => ({ count: s.count + 1 })) }))","const [appState, setAppState] = useState(hugeObject); // Context Provider",High,https://reactnative.dev/docs/intro-react#state
State,Memoize expensive computations,Use useMemo for computed values,Memoize filtered/sorted lists,Recompute in every render,"const filtered = useMemo(() => items.filter(i => i.active), [items]);","const filtered = items.filter(i => i.active); // every render",High,https://react.dev/reference/react/useMemo
State,Use useCallback for handlers,Prevent unnecessary child rerenders,Wrap handlers in useCallback with deps,Create new functions every render,"const onPress = useCallback(() => { handleItem(item.id); }, [item.id]);","const onPress = () => { handleItem(item.id); }; // new function each render",Medium,https://react.dev/reference/react/useCallback
Lists,Use FlatList for long lists,FlatList virtualizes rendering,Use FlatList with keyExtractor,Use ScrollView with map for long lists,"<FlatList data={items} keyExtractor={item => item.id} renderItem={({ item }) => <ItemRow item={item} />} />","<ScrollView>{items.map(item => <ItemRow key={item.id} item={item} />)}</ScrollView>",Critical,https://reactnative.dev/docs/flatlist
Lists,Optimize FlatList renderItem,Memoize list items properly,Use React.memo for list item components,Inline renderItem without memoization,"const ItemRow = React.memo(({ item }) => <View>...</View>); <FlatList renderItem={({ item }) => <ItemRow item={item} />} />","<FlatList renderItem={({ item }) => <View><Text>{item.name}</Text></View>} />",High,https://reactnative.dev/docs/optimizing-flatlist-configuration
Lists,Use getItemLayout when possible,Improves scroll performance for fixed heights,Provide getItemLayout for uniform items,Skip getItemLayout for fixed-height items,"<FlatList getItemLayout={(data, index) => ({ length: ITEM_HEIGHT, offset: ITEM_HEIGHT * index, index })} />","<FlatList /> // no getItemLayout for uniform items",Medium,https://reactnative.dev/docs/flatlist#getitemlayout
Styling,Use StyleSheet.create,Styles are validated and optimized at creation,Define styles with StyleSheet.create,Use inline style objects,"const styles = StyleSheet.create({ container: { flex: 1, padding: 16 } });","<View style={{ flex: 1, padding: 16 }}>",High,https://reactnative.dev/docs/stylesheet
Styling,Avoid inline styles,Inline objects cause unnecessary rerenders,Use StyleSheet or memoized styles,Create new style objects in render,"<View style={styles.container}>","<View style={{ flex: 1, backgroundColor: active ? 'blue' : 'gray' }}>",Medium,https://reactnative.dev/docs/stylesheet
Platform,Use Platform module,Handle platform differences properly,Use Platform.OS or Platform.select,Write platform checks manually,"import { Platform } from 'react-native'; const paddingTop = Platform.OS === 'ios' ? 44 : 0;","const isIOS = navigator.userAgent.includes('iPhone');",Medium,https://reactnative.dev/docs/platform
Platform,Use platform-specific files,Separate platform code cleanly,Create Component.ios.js and Component.android.js,Put all platform code in one file with if statements,"Button.ios.js, Button.android.js","if (Platform.OS === 'ios') { ... } else { ... } // complex logic",Medium,https://reactnative.dev/docs/platform-specific-code
Accessibility,Add accessibility props,Screen readers need proper labels,Use accessibilityLabel accessibilityRole accessibilityHint,Leave interactive elements without labels,"<TouchableOpacity accessibilityLabel=""Submit form"" accessibilityRole=""button""><Icon name=""check"" /></TouchableOpacity>","<TouchableOpacity><Icon name=""check"" /></TouchableOpacity>",Critical,https://reactnative.dev/docs/accessibility
Accessibility,Test with screen readers,Verify TalkBack and VoiceOver work,Test with real devices and screen readers,Rely only on simulator testing,Enable VoiceOver/TalkBack navigate through app,Assume accessibility props work correctly,High,https://reactnative.dev/docs/accessibility#testing
Performance,Use Hermes engine,Hermes improves startup and memory,Enable Hermes in android/app/build.gradle and Podfile,Disable Hermes in production,hermesEnabled: true in react-native.config.js,hermesEnabled: false,High,https://reactnative.dev/docs/hermes
Performance,Avoid anonymous functions in JSX,Creates new references each render,Define handlers outside JSX or use useCallback,Pass arrow functions directly to onPress,"const handlePress = useCallback(() => {}, []); <Button onPress={handlePress} />","<Button onPress={() => doSomething()} />",Medium,https://reactnative.dev/docs/optimizing-flatlist-configuration
Images,Use proper image caching,Cache remote images for performance,Use react-native-fast-image for remote images,Use Image component for all remote images,"import FastImage from 'react-native-fast-image'; <FastImage source={{ uri: url, priority: FastImage.priority.normal }} />","<Image source={{ uri: url }} />",Medium,https://github.com/DylanVann/react-native-fast-image
