Palette Name,Platform,Primary,Secondary,Tertiary,Surface,On-Surface,Error,Dynamic Color Support
Material 3 Default,Android,#6750A4,#625B71,#7D5260,#FEF7FF,#1D1B20,#B3261E,Yes - from wallpaper
iOS System Blue,iOS,#007AFF,#5856D6,#FF9500,#FFFFFF,#000000,#FF3B30,Yes - system accent
iOS System Green,iOS,#34C759,#30D158,#FFD60A,#FFFFFF,#000000,#FF3B30,Yes - system accent
Dark OLED,Cross-platform,#BB86FC,#03DAC6,#CF6679,#121212,#FFFFFF,#CF6679,Manual - accent only
Health Wellness,Cross-platform,#4CAF50,#81C784,#A5D6A7,#F5F5F5,#212121,#F44336,Partial
Fintech Trust,Cross-platform,#1A73E8,#4285F4,#34A853,#FAFAFA,#202124,#EA4335,Yes
E-commerce,Cross-platform,#FF6B00,#FFC107,#00BCD4,#FFFFFF,#212121,#F44336,Partial
Social Media,Cross-platform,#1877F2,#42B72A,#F02849,#FFFFFF,#1C1E21,#FF0000,Yes
Gaming Dark,Cross-platform,#00FF00,#FF00FF,#00FFFF,#0D0D0D,#FFFFFF,#FF0000,Manual
Entertainment,Cross-platform,#E50914,#221F1F,#F5F5F1,#141414,#FFFFFF,#E50914,Manual
Productivity,Cross-platform,#4285F4,#34A853,#FBBC05,#FFFFFF,#202124,#EA4335,Yes
iOS Tinted Glass Light,iOS,#007AFF,#5856D6,#FF9500,#F2F2F7,#000000,#FF3B30,Liquid Glass adaptive
iOS Tinted Glass Dark,iOS,#0A84FF,#5E5CE6,#FF9F0A,#1C1C1E,#FFFFFF,#FF453A,Liquid Glass adaptive
Material 3 Blue,Android,#0061A4,#535F70,#6B5778,#FDFCFF,#1A1C1E,#BA1A1A,Yes - tonal
Material 3 Green,Android,#006D3B,#4A6356,#5D5F5B,#FCFDF7,#1A1C19,#BA1A1A,Yes - tonal
Material 3 Orange,Android,#8B5000,#6F5D43,#5B5F5F,#FFFBFF,#1F1B16,#BA1A1A,Yes - tonal
Neutral Minimal,Cross-platform,#333333,#666666,#999999,#FAFAFA,#1A1A1A,#D32F2F,No - static
High Contrast A11y,Cross-platform,#000000,#0000EE,#551A8B,#FFFFFF,#000000,#FF0000,No - fixed for a11y
