Style Name,Platform,Font Family,Size,Weight,Line Height,Letter Spacing,Use Case
Display Large,Material 3,Google Sans,57sp,400,64sp,-0.25sp,Hero headlines large feature text
Display Medium,Material 3,Google Sans,45sp,400,52sp,0sp,Section headers promotional text
Display Small,Material 3,Google Sans,36sp,400,44sp,0sp,Card titles feature highlights
Headline Large,Material 3,Google Sans,32sp,400,40sp,0sp,Screen titles dialog headers
Headline Medium,Material 3,Google Sans,28sp,400,36sp,0sp,Section titles expansion panels
Headline Small,Material 3,Google Sans,24sp,400,32sp,0sp,Subsection headers card titles
Title Large,Material 3,Google Sans Text,22sp,500,28sp,0sp,App bar titles list headers
Title Medium,Material 3,Google Sans Text,16sp,500,24sp,0.15sp,Card titles dialog titles
Title Small,Material 3,Google Sans Text,14sp,500,20sp,0.1sp,Tab labels small headers
Body Large,Material 3,Google Sans Text,16sp,400,24sp,0.5sp,Primary body text paragraphs
Body Medium,Material 3,Google Sans Text,14sp,400,20sp,0.25sp,Default body secondary text
Body Small,Material 3,Google Sans Text,12sp,400,16sp,0.4sp,Captions helper text
Label Large,Material 3,Google Sans Text,14sp,500,20sp,0.1sp,Buttons prominent labels
Label Medium,Material 3,Google Sans Text,12sp,500,16sp,0.5sp,Navigation labels chips
Label Small,Material 3,Google Sans Text,11sp,500,16sp,0.5sp,Small labels badges
Large Title,iOS,SF Pro Display,34pt,700,41pt,0.37pt,Primary screen titles
Title 1,iOS,SF Pro Display,28pt,400,34pt,0.36pt,Section headers prominent
Title 2,iOS,SF Pro Display,22pt,400,28pt,0.35pt,Subsection headers
Title 3,iOS,SF Pro Display,20pt,400,25pt,0.38pt,Tertiary headers
Headline,iOS,SF Pro Text,17pt,600,22pt,-0.43pt,Table headers emphasis
Body,iOS,SF Pro Text,17pt,400,22pt,-0.43pt,Primary content text
Callout,iOS,SF Pro Text,16pt,400,21pt,-0.32pt,Secondary content
Subheadline,iOS,SF Pro Text,15pt,400,20pt,-0.24pt,Section subtitles
Footnote,iOS,SF Pro Text,13pt,400,18pt,-0.08pt,Secondary labels helper
Caption 1,iOS,SF Pro Text,12pt,400,16pt,0pt,Timestamps small labels
Caption 2,iOS,SF Pro Text,11pt,400,13pt,0.06pt,Tertiary labels badges
SF Pro Rounded,iOS,SF Pro Rounded,Variable,Variable,Variable,Variable,Friendly playful contexts
SF Mono,iOS,SF Mono,Variable,400,Variable,0pt,Code technical data
SF Compact,watchOS,SF Compact,Variable,Variable,Variable,Variable,Apple Watch small screens
SF Compact Rounded,watchOS,SF Compact Rounded,Variable,Variable,Variable,Variable,Watch playful contexts
Roboto,Android,Roboto,Variable,Variable,Variable,Variable,Default Android system font
Roboto Mono,Android,Roboto Mono,Variable,400,Variable,0sp,Code technical content
Roboto Condensed,Android,Roboto Condensed,Variable,Variable,Variable,Variable,Space-constrained areas
Roboto Slab,Android,Roboto Slab,Variable,Variable,Variable,Variable,Editorial long-form content
Product Sans,Android,Product Sans,Variable,Variable,Variable,Variable,Google branding headers
Noto Sans,Cross-platform,Noto Sans,Variable,Variable,Variable,Variable,Multilingual support
Noto Serif,Cross-platform,Noto Serif,Variable,Variable,Variable,Variable,Multilingual editorial
Inter,Cross-platform,Inter,Variable,Variable,Variable,Variable,Modern readable UI
Poppins,Cross-platform,Poppins,Variable,Variable,Variable,Variable,Geometric modern headers
Open Sans,Cross-platform,Open Sans,Variable,Variable,Variable,Variable,Readable body text
Lato,Cross-platform,Lato,Variable,Variable,Variable,Variable,Clean professional
Montserrat,Cross-platform,Montserrat,Variable,Variable,Variable,Variable,Bold headers urban
Dynamic Type xSmall,iOS,System,14pt scaled,400,Auto,-,Accessibility smallest
Dynamic Type Small,iOS,System,15pt scaled,400,Auto,-,Accessibility small
Dynamic Type Medium,iOS,System,16pt scaled,400,Auto,-,Accessibility medium default
Dynamic Type Large,iOS,System,17pt scaled,400,Auto,-,Default Dynamic Type
Dynamic Type xLarge,iOS,System,19pt scaled,400,Auto,-,Accessibility larger
Dynamic Type xxLarge,iOS,System,21pt scaled,400,Auto,-,Accessibility even larger
Dynamic Type xxxLarge,iOS,System,23pt scaled,400,Auto,-,Accessibility very large
Accessibility Medium,iOS,System,28pt scaled,400,Auto,-,Accessibility mode medium
Accessibility Large,iOS,System,33pt scaled,400,Auto,-,Accessibility mode large
Accessibility xLarge,iOS,System,40pt scaled,400,Auto,-,Accessibility mode extra large
Android sp Small,Android,System,12sp,400,Auto,0.4sp,Accessibility system small
Android sp Default,Android,System,14sp,400,Auto,0.25sp,Default system size
Android sp Large,Android,System,16sp,400,Auto,0.5sp,System large text
Android sp Huge,Android,System,20sp,400,Auto,0sp,System accessibility huge
Flutter Theme Display,Flutter,Platform default,57dp,400,64dp,Variable,Material 3 Flutter display
Flutter Theme Body,Flutter,Platform default,14dp,400,20dp,Variable,Material 3 Flutter body
RN Text Default,React Native,System,14sp/pt,400,Auto,0,React Native default text
RN Text Large,React Native,System,18sp/pt,400,Auto,0,React Native large text
KMP Compose Text,KMP,Platform font,Variable,Variable,Variable,Variable,Compose Multiplatform
