Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Material,Use Regular glass for most cases,Regular glass adapts to content beneath,Use .glassEffect(.regular) for nav controls,"Use Clear glass without proper background","NavigationStack { }.toolbar { Button("""").glassEffect(.regular) }","NavigationStack { }.toolbar { Button("""").glassEffect(.clear) } // needs dimming",High,https://developer.apple.com/documentation/SwiftUI/Glass
Material,Clear glass for media backgrounds,Clear glass over photos and videos,Use .glassEffect(.clear) with dimming layer over media,Use Clear glass over varying content,"ZStack { Image(...); VStack { controls }.glassEffect(.clear) }","VStack { dynamicContent }.overlay { controls.glassEffect(.clear) }",Medium,https://developer.apple.com/documentation/SwiftUI/Glass
Material,Never stack glass on glass,Glass cannot sample other glass,Use vibrancy or solid colors on glass layers,Put glass views on top of other glass,"glassView { Text(""Label"").foregroundStyle(.secondary) } // vibrancy","glassView { innerGlassView { } } // glass on glass",Critical,https://developer.apple.com/documentation/SwiftUI/Applying-Liquid-Glass-to-custom-views
Grouping,Use GlassEffectContainer for related elements,Groups glass for consistent appearance,Wrap related glass elements in container,Let overlapping glass sample each other,"GlassEffectContainer { Button(""A"").glassEffect(); Button(""B"").glassEffect() }","HStack { Button(""A"").glassEffect(); Button(""B"").glassEffect() } // overlapping issues",High,https://developer.apple.com/documentation/SwiftUI/GlassEffectContainer
Grouping,Use glassEffectID for morphing,Associate glass elements for transitions,Assign matching IDs in same namespace,Create unconnected glass elements that should morph,"Circle().glassEffect().glassEffectID(""item"", in: namespace); RoundedRectangle().glassEffect().glassEffectID(""item"", in: namespace)","Circle().glassEffect(); RoundedRectangle().glassEffect() // no morphing",Medium,https://developer.apple.com/documentation/SwiftUI/View/glassEffectID(_:in:)
Tinting,Use tint selectively,Tint highlights primary elements,Apply tint to primary action buttons only,Tint all glass elements,"Button(""Primary"") { }.glassEffect(.regular.tint(.blue)); Button(""Secondary"") { }.glassEffect(.regular)","Button(""A"").glassEffect(.regular.tint(.red)); Button(""B"").glassEffect(.regular.tint(.blue)); // too many tints",Medium,https://developer.apple.com/documentation/SwiftUI/Glass/tint(_:)
Tinting,Match tint to accent color,Consistent brand appearance,Use accentColor or system colors for tint,Use random colors for tinting,"Button { }.glassEffect(.regular.tint(.accentColor))","Button { }.glassEffect(.regular.tint(Color(red: 0.5, green: 0.3, blue: 0.8)))",Low,https://developer.apple.com/documentation/SwiftUI/Glass/tint(_:)
Interaction,Add interactive for touch response,Glass should respond to touch,Use .interactive() on tappable glass elements,Leave interactive glass without feedback,"Button { }.glassEffect(.regular.interactive())","Button { }.glassEffect(.regular) // no touch feedback",High,https://developer.apple.com/documentation/SwiftUI/Glass/interactive()
Animation,Use spring animations,Natural motion with Liquid Glass,Apply .spring() for glass transitions,Use linear or instant animations,"withAnimation(.spring(duration: 0.4, bounce: 0.2)) { expanded.toggle() }","withAnimation(.linear(duration: 0.3)) { expanded.toggle() }",Medium,https://developer.apple.com/documentation/SwiftUI/Animation/spring(duration:bounce:blendDuration:)
Animation,Respect reduce motion,Accessibility for motion sensitivity,Check isReduceMotionEnabled disable bouncy animations,Ignore accessibility preferences,"withAnimation(reduceMotion ? .easeInOut(duration: 0.2) : .spring(bounce: 0.3)) { }","withAnimation(.spring(bounce: 0.5)) { } // always bouncy",High,https://developer.apple.com/documentation/SwiftUI/EnvironmentValues/accessibilityReduceMotion
