Guideline,WCAG Level,iOS Implementation,Android Implementation,Testing Method,Priority
Touch Target Size 48dp,AAA 2.5.8,Min 44pt frame padding if needed,Min 48dp minHeight minWidth,Accessibility Scanner tap target test,Critical
Touch Target Size 44dp,AA 2.5.5,44x44pt minimum touchable area,44x44dp minimum clickable bounds,Manual measurement Accessibility Scanner,High
Color Contrast Text 4.5:1,AA 1.4.3,Dynamic Type + system colors,Material color roles auto contrast,Accessibility Scanner contrast checker,Critical
Color Contrast Large 3:1,AA 1.4.3,18pt+ bold or 24pt+ regular,24sp+ or 18.5sp+ bold,Contrast analyzer tools,High
Color Contrast UI 3:1,AA 1.4.11,UI components against background,Interactive elements contrast,Accessibility Scanner,High
Focus Indicators Visible,AA 2.4.7,.focused state border or highlight,Focus state in theme ripple,Keyboard navigation test TalkBack,High
Focus Order Logical,A 2.4.3,accessibilityElement order sortPriority,focusable nextFocusDown etc,Tab order test TalkBack swipe,High
Screen Reader Labels,A 1.1.1,accessibilityLabel accessibilityHint,contentDescription,VoiceOver TalkBack full audit,Critical
Screen Reader Actions,A 4.1.2,accessibilityAction performEscape,AccessibilityAction,VoiceOver TalkBack action test,High
Reduce Motion Support,AAA 2.3.3,UIAccessibility.isReduceMotionEnabled,Settings.Global ANIMATOR_DURATION_SCALE,Settings test disabled animations,Medium
Reduce Transparency,AAA,UIAccessibility.isReduceTransparencyEnabled,Not available - custom check,iOS Settings test,Medium
Dynamic Type Support,AAA 1.4.4,.dynamicTypeSize modifier scaledFont,sp units TextAppearance,Font size settings test,High
Voice Control Support,AAA 2.5.3,accessibilityUserInputLabels,Voice Access compatibility,Voice Control app testing,Medium
Switch Control Support,AAA 2.1.1,focusable accessibilityActivate,Focusable clickable actions,Switch Access testing,Medium
Captions for Media,A 1.2.2,AVPlayer subtitles closed captions,ExoPlayer subtitle tracks,Media with captions test,High
Audio Descriptions,AA 1.2.5,Audio description track,Audio description track,Manual verification,Medium
Error Identification,A 3.3.1,accessibilityLabel for error state,Error contentDescription live region,VoiceOver TalkBack error test,High
Error Suggestion,AA 3.3.3,Inline error text clear instruction,TextInputLayout error message,Manual review UX audit,Medium
Input Purpose,AA 1.3.5,textContentType autofill hints,autofillHints importantForAutofill,Autofill test manual check,Medium
Orientation Unlock,AA 1.3.4,Support both orientations,Support both orientations configChanges,Rotation test both orientations,Medium
Timeout Adjustable,A 2.2.1,Warning before timeout extend option,Similar warning and extension,Manual timeout testing,Medium
No Seizure Content,A 2.3.1,No flashing >3/sec,No flashing content,PEAT tool manual review,Critical
Keyboard Accessible,A 2.1.1,Full keyboard nav external keyboard,Full keyboard nav hardware keyboard,External keyboard testing,High
No Keyboard Trap,A 2.1.2,Focus can always move escape works,Focus navigation no traps,Keyboard trap testing,Critical
Skip Navigation,A 2.4.1,accessibilityScrollTo skip to content,Skip to main content action,VoiceOver swipe test,Medium
Page Title Clear,A 2.4.2,NavigationTitle descriptive,Activity title in manifest or code,Screen title announcement test,High
Link Purpose Clear,A 2.4.4,accessibilityLabel for links,contentDescription for links,VoiceOver TalkBack link test,High
Multiple Input Methods,A 2.5.6,Support tap gesture voice keyboard,Support tap gesture voice keyboard,Multi-method testing,Medium
Motion Actuation,A 2.5.4,Provide non-motion alternative,Provide non-motion alternative,Shake-to-undo alternative test,Medium
Pointer Cancellation,A 2.5.2,onEnded not onChanged for activation,onClick not onTouch for actions,Touch cancel test,High
Label in Name,A 2.5.3,accessibilityLabel matches visible text,contentDescription matches visible text,VoiceOver TalkBack test,High
Consistent Navigation,AA 3.2.3,Same navigation across views,Same navigation pattern,Manual navigation review,Medium
Consistent Identification,AA 3.2.4,Same icons for same functions,Same icons for same functions,Manual icon audit,Medium
Error Prevention,AA 3.3.4,Confirmation for destructive actions,Confirmation dialogs,Manual UX review,Medium
Help Available,AAA 3.3.5,Contextual help hints tooltips,Help text in UI,Manual help coverage review,Low
Status Messages,AA 4.1.3,accessibilityAnnouncement live region,AccessibilityLiveRegion POLITE,Status change announcement test,High
Name Role Value,A 4.1.2,Proper accessibility traits roles,Proper roles and states,VoiceOver TalkBack full audit,Critical
Reflow Support,AA 1.4.10,Support Dynamic Type up to 200%,Support font scaling up to 200%,Font scale 200% test,High
Text Spacing,AA 1.4.12,Respect system text spacing,Respect system text spacing,Text spacing system test,Medium
Content Hover Focus,AA 1.4.13,Dismissible hoverable persistent,Long press content accessible,Hover focus content test,Medium
Language Declared,A 3.1.1,CFBundleDevelopmentRegion set,Locale in app,Language setting test,Medium
Unusual Words Explained,AAA 3.1.3,Glossary or inline definition,Glossary or tooltip,Manual content review,Low
Abbreviations Explained,AAA 3.1.4,Full form first use or tooltip,Full form first use or tooltip,Manual content review,Low
Reading Level Appropriate,AAA 3.1.5,Plain language clear structure,Plain language clear structure,Readability analysis tools,Low
Pronunciation Help,AAA 3.1.6,accessibilitySpeechPunctuation hints,TTS pronunciation hints,VoiceOver TalkBack listen test,Low
Consistent Help Location,AAA 3.2.6,Help always in same location,Help always in same location,Manual help placement review,Low
Accessible Authentication,AA 3.3.7,Biometric or password manager support,Biometric or autofill support,Auth flow accessibility test,High
Redundant Entry,A 3.3.8,Auto-populate previously entered data,Auto-populate form data,Form data persistence test,Medium
Focus Not Obscured,AA 2.4.11,Focused element fully visible,Focused element not hidden,Keyboard focus visibility test,High
Focus Appearance,AAA 2.4.13,2px solid outline on focus,Clear focus indicator style,Focus style visibility test,Medium
