Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Material 3,Use MaterialTheme,Wrap app in MaterialTheme for consistent theming,Use MaterialTheme with colorScheme typography shapes,Use hardcoded colors and text styles,"MaterialTheme(colorScheme = colorScheme) { Surface { Content() } }","Surface(color = Color.White) { Text(""Hello"", fontSize = 16.sp) }",Critical,https://developer.android.com/develop/ui/compose/designsystems/material3
Material 3,Dynamic color on Android 12+,Use dynamic color schemes from wallpaper,Check SDK version use dynamicLightColorScheme/dynamicDarkColorScheme,Force dynamic color on older devices,"if (Build.VERSION.SDK_INT >= 31) dynamicLightColorScheme(context) else LightColors","dynamicLightColorScheme(context) // crashes on API < 31",High,https://developer.android.com/develop/ui/compose/designsystems/material3#dynamic-color
Material 3,Use M3 components,Prefer Material 3 components over Material 2,Import from androidx.compose.material3,Mix Material 2 and Material 3 components,"import androidx.compose.material3.Button","import androidx.compose.material.Button // M2",High,https://m3.material.io/components
Navigation,Use NavHost for navigation,NavHost manages navigation graph and back stack,Use NavHost with NavController rememberNavController,Create custom navigation state management,"NavHost(navController, startDestination = ""home"") { composable(""home"") { HomeScreen() } }","var currentScreen by remember { mutableStateOf(""home"") }",High,https://developer.android.com/develop/ui/compose/navigation
Navigation,Pass data via navigation arguments,Use type-safe navigation arguments,Define route arguments use navBackStackEntry,Pass data through viewmodels or globals,"composable(""detail/{id}"") { backStackEntry -> DetailScreen(backStackEntry.arguments?.getString(""id"")) }","DetailScreen(GlobalState.selectedId)",Medium,https://developer.android.com/develop/ui/compose/navigation#nav-with-args
State,Use remember for composition-local state,remember survives recomposition but not config changes,Use remember for UI state that can be recreated,Use remember for data that must survive rotation,"val expanded = remember { mutableStateOf(false) }","val userData = remember { loadUserData() } // lost on rotation",High,https://developer.android.com/develop/ui/compose/state#state-in-composables
State,Use rememberSaveable for persistent state,rememberSaveable survives configuration changes,Use rememberSaveable for user input scroll position,Use rememberSaveable for large objects,"val text = rememberSaveable { mutableStateOf("""") }","val largeList = rememberSaveable { hugeDataList }",High,https://developer.android.com/develop/ui/compose/state#restore-ui-state
State,Hoist state for reusability,Lift state up to make composables stateless reusable,Create stateless composables accept state as params,Keep state internal to composables,"@Composable fun Counter(count: Int, onIncrement: () -> Unit)","@Composable fun Counter() { var count by remember { mutableStateOf(0) } }",Medium,https://developer.android.com/develop/ui/compose/state#state-hoisting
State,Use StateFlow with collectAsState,Collect Flows as Compose state safely,Use collectAsStateWithLifecycle for lifecycle-aware collection,Collect flows without lifecycle awareness,"val uiState by viewModel.uiState.collectAsStateWithLifecycle()","val uiState by viewModel.uiState.collectAsState()",High,https://developer.android.com/develop/ui/compose/state#use-other-types-of-state-in-jetpack-compose
Layout,Use LazyColumn for long lists,LazyColumn only composes visible items,Use LazyColumn with key parameter for stable items,Use Column with verticalScroll for long lists,"LazyColumn { items(items, key = { it.id }) { ItemRow(it) } }","Column(Modifier.verticalScroll(rememberScrollState())) { items.forEach { ItemRow(it) } }",Critical,https://developer.android.com/develop/ui/compose/lists
