Gesture,Platform,SwiftUI,Compose,Flutter,Haptic Feedback,Accessibility Alternative
Tap,Cross-platform,TapGesture onTapGesture,clickable Modifier.clickable,GestureDetector onTap,Light impact on action,.isButton role tap action
Double Tap,Cross-platform,TapGesture count:2,combinedClickable onDoubleClick,GestureDetector onDoubleTap,Light impact,Single tap alternative a11y action
Long Press,Cross-platform,LongPressGesture onLongPressGesture,combinedClickable onLongClick,GestureDetector onLongPress,Medium impact on trigger,Context menu button alternative
Swipe Horizontal,Cross-platform,DragGesture with direction,swipeable Modifier,Dismissible GestureDetector,Light impact on threshold,Swipe actions button alternatives
Swipe Vertical,Cross-platform,DragGesture vertical,Modifier.draggable vertical,GestureDetector vertical drag,Subtle feedback,Scroll or button alternatives
Drag,Cross-platform,DragGesture,Modifier.draggable,Draggable LongPressDraggable,Continuous subtle feedback,Move buttons reorder menu
Pinch Zoom,Cross-platform,MagnificationGesture,transformable detectTransformGestures,InteractiveViewer ScaleGestureDetector,None or subtle,Zoom buttons double tap zoom
Rotation,Cross-platform,RotationGesture,transformable rotation,RotationGestureDetector,Subtle on snap angles,Rotation buttons or disabled
Pan,Cross-platform,DragGesture,Modifier.offset draggable,GestureDetector onPan,None,Arrow buttons scroll alternatives
Edge Swipe Back,iOS/Android,NavigationStack automatic,BackHandler system,WillPopScope Navigator.pop,Light impact,Back button always present
Pull to Refresh,Cross-platform,.refreshable modifier,pullRefresh Modifier,RefreshIndicator,Medium impact on trigger,Refresh button in toolbar
Scroll,Cross-platform,ScrollView List,LazyColumn LazyRow,ListView SingleChildScrollView,Edge bounce feedback,Focus navigation page buttons
Force Touch 3D Touch,iOS legacy,Not available iOS 13+,N/A,N/A,Peek and pop removed,Long press context menu
Haptic Tap,Cross-platform,UIImpactFeedbackGenerator,HapticFeedback.performHapticFeedback,HapticFeedback.vibrate,Customizable intensity,Audio feedback alternative
Selection Feedback,Cross-platform,UISelectionFeedbackGenerator,LocalHapticFeedback.performHapticFeedback(HapticFeedbackType.TextHandleMove),HapticFeedback.selectionClick,Selection click,Visual selection state
Notification Feedback,Cross-platform,UINotificationFeedbackGenerator,LocalHapticFeedback.performHapticFeedback(HapticFeedbackType.LongPress),HapticFeedback.heavyImpact,Success warning error,Toast banner and color change
Swipe Actions,Cross-platform,.swipeActions modifier,SwipeToDismiss,Dismissible Slidable,Light impact on reveal,Action buttons visible
Multi-touch,Cross-platform,SimultaneousGesture,Multiple pointer input,MultiDragGestureRecognizer,Per-finger feedback,Single touch fallback
Hover,iPadOS/Desktop,.onHover modifier,Modifier.hoverable,MouseRegion,None - visual only,Focus states for keyboard
Triple Tap,Cross-platform,TapGesture count:3,Custom triple tap,GestureDetector triple custom,Medium impact,Menu or button alternative
Swipe Delete,Cross-platform,.swipeActions(edge: .trailing),SwipeToDismiss,Dismissible,Medium impact on delete,Delete button visible
Swipe Archive,Cross-platform,.swipeActions(edge: .leading),SwipeToDismiss custom,Dismissible custom,Light impact on archive,Archive button visible
Swipe to Reveal,Cross-platform,.swipeActions,SwipeableActionsBox,Slidable,Light on reveal,Visible action buttons
Two Finger Tap,iPadOS,TapGesture numberOfTouches:2,Custom multi-touch,Custom gesture detector,Medium impact,Secondary click context menu
Two Finger Scroll,Cross-platform,ScrollView natural,LazyColumn natural,SingleChildScrollView,Edge feedback,Mouse wheel keyboard arrows
Two Finger Pinch,Cross-platform,MagnificationGesture,detectTransformGestures,ScaleGestureDetector,Snap feedback,Zoom buttons slider
Three Finger Swipe,iPadOS,Custom gesture,Custom gesture,Custom gesture,System level,Copy paste undo buttons
Shake to Undo,iOS,UIDevice motionEnded,Not standard,Accelerometer custom,Strong impact,Undo button in toolbar
Flick,Cross-platform,DragGesture with velocity,Modifier.draggable velocity,GestureDetector velocity,Light subtle,Swipe or button alternative
Fling,Cross-platform,DragGesture ending velocity,fling Modifier,Fling gesture,Light momentum,Scroll or button alternative
Tilt,Cross-platform,CoreMotion DeviceMotion,SensorManager orientation,sensors_plus,Subtle continuous,On-screen controls
Compass,Cross-platform,CLLocationManager heading,SensorManager magnetic,compass,None,Direction display
Pedometer,Cross-platform,CMPedometer,Sensor.TYPE_STEP_COUNTER,pedometer,Step vibration optional,Step count display
Proximity,Cross-platform,Not available,SensorManager proximity,proximity_sensor,None,Manual pause button
Ambient Light,Cross-platform,Not available,SensorManager light,light,None,Manual brightness control
Barometer,Cross-platform,CMAltimeter,SensorManager pressure,environment_sensors,None,Altitude display
Stylus Press,iPadOS,UITouch force,MotionEvent pressure,Custom pressure,Pressure feedback,Thickness buttons
Stylus Tilt,iPadOS,UITouch azimuthAngle altitudeAngle,MotionEvent tilt,Custom tilt handler,None visual only,Tilt slider control
Stylus Barrel,iPadOS,UIPencilInteraction,Custom barrel detection,Not available,Button feedback,On-screen button
Apple Pencil Squeeze,iPadOS,UIPencilInteraction.squeeze,N/A,N/A,Custom feedback,Tool picker button
Apple Pencil Double Tap,iPadOS,UIPencilInteraction.tap,N/A,N/A,Light impact,Tool toggle button
Keyboard Shortcut,Cross-platform,keyboardShortcut modifier,Keyboard.setShortcuts,RawKeyboardListener,None,Menu item visible
Focus Navigation,Cross-platform,focusable .focused,focusable FocusRequester,FocusNode,None,Tab order visual
