Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Material 3,Enable useMaterial3,Use Material 3 design system in Flutter,Set useMaterial3: true in ThemeData,Use Material 2 default styling,"ThemeData(useMaterial3: true, colorScheme: ColorScheme.fromSeed(seedColor: Colors.blue))","ThemeData(primarySwatch: Colors.blue)",High,https://docs.flutter.dev/ui/design/material
Material 3,Use ColorScheme.fromSeed,Generate complete color scheme from seed color,Use fromSeed for dynamic theming,Manually define all color roles,"ColorScheme.fromSeed(seedColor: Colors.deepPurple, brightness: Brightness.light)","ColorScheme(primary: Color(0xFF6200EE), secondary: Color(0xFF03DAC6), ...)",Medium,https://api.flutter.dev/flutter/material/ColorScheme/ColorScheme.fromSeed.html
Theming,Use Theme.of(context),Access theme values through context,Use Theme.of(context).colorScheme.primary,Hardcode colors in widgets,"Container(color: Theme.of(context).colorScheme.primaryContainer)","Container(color: Color(0xFF6200EE))",High,https://docs.flutter.dev/cookbook/design/themes
Navigation,Use Navigator 2.0 or go_router,Declarative navigation for complex apps,Use go_router for type-safe routing,Use Navigator.push for all navigation,"context.go('/details/${item.id}')","Navigator.push(context, MaterialPageRoute(builder: (_) => DetailsPage(item)))",Medium,https://docs.flutter.dev/ui/navigation
Navigation,Handle deep links properly,Configure deep links for universal links,Set up route parsing for deep links,Ignore deep link configuration,"GoRouter(routes: [...], redirect: (state) => handleDeepLink(state.uri))","// No deep link handling",Medium,https://docs.flutter.dev/ui/navigation/deep-linking
State,Use StatelessWidget when possible,Stateless widgets are more efficient,Prefer StatelessWidget with external state management,Use StatefulWidget for all widgets,"class ItemCard extends StatelessWidget { final Item item; }","class ItemCard extends StatefulWidget { // no local state needed }",Medium,https://docs.flutter.dev/ui/interactivity#stateful-and-stateless-widgets
State,Minimize StatefulWidget scope,Keep stateful widgets small and focused,Extract stateful parts to smallest possible widget,Make entire screens StatefulWidget,"Column(children: [StatelessHeader(), StatefulCounter(), StatelessFooter()])","class EntireScreen extends StatefulWidget { // only counter needs state }",High,https://docs.flutter.dev/perf/best-practices#control-build-cost
State,Use Provider or Riverpod for app state,Proper state management for complex apps,Use Provider/Riverpod for dependency injection and state,Pass data through constructor chains,"Consumer<UserModel>(builder: (ctx, user, _) => Text(user.name))","MyWidget(user: widget.parent.parent.user)",High,https://docs.flutter.dev/data-and-backend/state-mgmt/options
Layout,Use const constructors,Const widgets are cached and reused,Add const to widget constructors when possible,Rebuild constant widgets,"const SizedBox(height: 16)","SizedBox(height: 16)",High,https://docs.flutter.dev/perf/best-practices#use-const-widgets-where-possible
Layout,Use ListView.builder for long lists,Builder creates items on demand,Use ListView.builder with itemCount,Use ListView with children list,"ListView.builder(itemCount: items.length, itemBuilder: (ctx, i) => ItemTile(items[i]))","ListView(children: items.map((i) => ItemTile(i)).toList())",Critical,https://docs.flutter.dev/cookbook/lists/long-lists
Layout,Prefer SizedBox over Container,SizedBox is more efficient for simple sizing,Use SizedBox for whitespace and fixed sizes,Use Container just for size constraints,"const SizedBox(width: 16, height: 16)","Container(width: 16, height: 16)",Low,https://api.flutter.dev/flutter/widgets/SizedBox-class.html
Animation,Use implicit animations first,AnimatedContainer etc handle common cases,Use Animated* widgets for simple animations,Use AnimationController for simple animations,"AnimatedContainer(duration: Duration(milliseconds: 300), color: isSelected ? Colors.blue : Colors.grey)","AnimationController + Tween for color change",Medium,https://docs.flutter.dev/ui/animations/implicit-animations
Animation,Respect reduced motion,Check MediaQuery for accessibility,Use MediaQuery.disableAnimations when needed,Ignore reduced motion preference,"final reduceMotion = MediaQuery.of(context).disableAnimations; AnimatedContainer(duration: reduceMotion ? Duration.zero : Duration(milliseconds: 300))","AnimatedContainer(duration: Duration(milliseconds: 300))",High,https://api.flutter.dev/flutter/widgets/MediaQueryData/disableAnimations.html
Accessibility,Use Semantics widget,Provide accessibility information,Wrap custom widgets in Semantics,Skip semantics on interactive widgets,"Semantics(label: 'Play button', button: true, child: CustomPlayButton())","CustomPlayButton() // no semantics",Critical,https://docs.flutter.dev/ui/accessibility-and-internationalization/accessibility
Accessibility,Test with screen readers,Verify TalkBack and VoiceOver work,Test with real screen readers,Rely only on automated accessibility tests,Run app with TalkBack/VoiceOver enabled,Only run flutter analyze,High,https://docs.flutter.dev/ui/accessibility-and-internationalization/accessibility#testing
Platform,Use Platform adaptive widgets,Adapt to iOS and Android conventions,Use adaptive constructors where available,Use same design on both platforms,"Switch.adaptive(value: isOn, onChanged: toggle)","Switch(value: isOn, onChanged: toggle) // Material on iOS",Medium,https://docs.flutter.dev/platform-integration/platform-adaptations
Platform,Handle platform differences,Respect platform conventions,Check Platform.isIOS/isAndroid for behaviors,Force single platform behavior everywhere,"if (Platform.isIOS) showCupertinoDialog() else showDialog()","showDialog() // always Material style",Medium,https://docs.flutter.dev/platform-integration/platform-adaptations
Performance,Profile with DevTools,Use Flutter DevTools for optimization,Profile build rebuild counts,Guess at performance issues,"Run DevTools, check rebuild counts in Widget Inspector","Optimize randomly without profiling",High,https://docs.flutter.dev/tools/devtools
Performance,Avoid rebuilding entire tree,Use targeted rebuilds with proper state,Use Consumer/Selector for targeted rebuilds,Call setState high in tree for small changes,"Selector<Model, String>(selector: (_, m) => m.name, builder: (_, name, __) => Text(name))","setState(() {}) // rebuilds everything below",High,https://docs.flutter.dev/perf/best-practices#control-build-cost
