Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
Color,Use color roles not raw colors,Color roles provide semantic meaning,Use MaterialTheme.colorScheme.primary etc,Use hardcoded hex colors,"Surface(color = MaterialTheme.colorScheme.primaryContainer) { Text(color = MaterialTheme.colorScheme.onPrimaryContainer) }","Surface(color = Color(0xFF6750A4)) { Text(color = Color.White) }",Critical,https://m3.material.io/styles/color/roles
Color,Apply dynamic color on Android 12+,Dynamic color personalizes the app,Use dynamicLightColorScheme dynamicDarkColorScheme,Force static colors on supported devices,"val colors = if (dynamicColor && Build.VERSION.SDK_INT >= 31) dynamicLightColorScheme(context) else staticColors","val colors = staticLightColorScheme // always static",High,https://m3.material.io/styles/color/dynamic/user-generated-source
Color,Use tonal palettes for custom colors,Tonal palettes ensure accessibility,Generate palettes from seed color,Pick random shades manually,"val palette = TonalPalette.fromHct(Hct.fromInt(seedColor)); palette.tone(40) // primary","val primary = Color(0xFF6200EE); val primaryVariant = Color(0xFF3700B3) // manual",Medium,https://m3.material.io/styles/color/the-color-system/key-colors-tones
Typography,Use type scale tokens,15 predefined styles for consistency,Use MaterialTheme.typography.bodyLarge etc,Define custom text sizes everywhere,"Text(style = MaterialTheme.typography.headlineMedium)","Text(fontSize = 28.sp, fontWeight = FontWeight.W400)",High,https://m3.material.io/styles/typography/type-scale-tokens
Typography,Display for hero text only,Display styles are for short impactful text,Use Display for hero headlines,Use Display for body content,"Text(""Welcome"", style = MaterialTheme.typography.displayLarge)","Text(longParagraph, style = MaterialTheme.typography.displaySmall)",Medium,https://m3.material.io/styles/typography/applying-type
Typography,Body Medium is default,Body Medium 14sp is the standard body text,Use bodyMedium for main content,Use bodyLarge everywhere,"Text(articleContent, style = MaterialTheme.typography.bodyMedium)","Text(articleContent, style = MaterialTheme.typography.bodyLarge) // too large",Low,https://m3.material.io/styles/typography/type-scale-tokens
Shape,Use shape scale consistently,4 shape sizes for different components,Use MaterialTheme.shapes.medium etc,Mix random corner radii,"Card(shape = MaterialTheme.shapes.medium) { }","Card(shape = RoundedCornerShape(7.dp)) { }",Medium,https://m3.material.io/styles/shape/corner-radius-scale
Shape,Extra Small for small components,4dp for checkboxes small buttons,Use shapes.extraSmall for small UI,"Use large shapes for small components","Checkbox with extraSmall shape (4dp)","Checkbox with RoundedCornerShape(16.dp)",Medium,https://m3.material.io/styles/shape/corner-radius-scale
Shape,Extra Large for FAB sheets,28dp for prominent rounded elements,Use shapes.extraLarge for FAB bottom sheets,Use small shapes for FAB,"FloatingActionButton(shape = MaterialTheme.shapes.extraLarge)","FloatingActionButton(shape = RoundedCornerShape(8.dp))",Medium,https://m3.material.io/styles/shape/corner-radius-scale
Elevation,Use tonal elevation,M3 uses color tint not just shadow,Surface elevation changes background tint,Rely only on shadow for elevation,"Surface(tonalElevation = 3.dp) { } // tinted background","Surface(shadowElevation = 3.dp) { } // shadow only no tint",Medium,https://m3.material.io/styles/elevation/overview
Elevation,5 elevation levels,Use consistent elevation scale,Use 0 1 3 6 8 12dp levels,Use arbitrary elevation values,"Surface(tonalElevation = 3.dp) // level 2","Surface(tonalElevation = 5.dp) // not standard",Low,https://m3.material.io/styles/elevation/applying-elevation
Components,Filled button for primary action,Highest emphasis button type,Use filled Button for main CTA,Use filled buttons for all actions,"Button(onClick = { }) { Text(""Save"") }","Button { Text(""Cancel"") } // should be text or outlined",High,https://m3.material.io/components/buttons/guidelines
